Protein,Status,logFC,AveExpr,t,P.Value,FDR,B,Protein.panel_3,Protein.panel
INPP1,M47_status,0.040792962,0.030162855,2.729094303,0.006353018,0.014963636,-3.725229804,Other,Oncology
INSL3,M47_status,-0.1796355,0.696509503,-4.473807177,7.7e-06,2.79e-05,2.611383092,Other,Neurology
IQGAP2,M47_status,0.052637217,0.019890435,3.450712251,0.000559559,0.001587953,-1.503470379,Other,Oncology
ITGB5,M47_status,0.030147319,0.024843055,2.854276644,0.00431521,0.010608376,-3.382816749,Other,Oncology
ITGB6,M47_status,-0.025353473,-0.005613045,-2.864275782,0.00418136,0.010322732,-3.34361214,Inflammation,Inflammation
ITIH3,M47_status,0.039884133,-0.024030995,3.559696186,0.000371617,0.001086235,-1.12911449,Cardiometabolic,Cardiometabolic
ITIH4,M47_status,0.043691077,0.018694606,5.811170128,6.25e-09,3.12e-08,9.452560604,Inflammation,Inflammation
ITM2A,M47_status,0.038623491,0.016342471,2.333081861,0.019647682,0.041889259,-4.724656061,Inflammation,Inflammation
JAM3,M47_status,0.052425554,0.070929088,3.74690791,0.000179257,0.000553293,-0.355823931,Inflammation,Inflammation
KIF22,M47_status,0.091171767,-0.108893386,2.670414179,0.007578601,0.017665271,-3.792272864,Cardiometabolic,Cardiometabolic
KIR2DL2,M47_status,0.126699238,0.013105515,5.211979219,1.88e-07,8.25e-07,6.168072286,Other,Oncology
KLK12,M47_status,0.107948264,-0.51360804,2.842563218,0.004477036,0.010950943,-3.404438462,Other,Oncology
KLK13,M47_status,0.045372687,0.012942655,3.577446369,0.000347293,0.001020237,-1.052695027,Other,Oncology
LAIR2,M47_status,0.08106121,-0.091428403,2.796666867,0.005165202,0.012375315,-3.536678516,Other,Neurology
LAP3,M47_status,0.043280234,-0.002895976,3.236460217,0.001211,0.003265454,-2.212405173,Inflammation,Inflammation
LATS1,M47_status,0.062791859,0.024453175,2.659582839,0.007826615,0.018156505,-3.825660593,Inflammation,Inflammation
LBR,M47_status,0.12206463,0.083345665,6.340207598,2.31e-10,1.31e-09,12.58074712,Other,Neurology
LEO1,M47_status,0.030085719,0.021416929,3.565375622,0.000363714,0.001064413,-1.025173647,Other,Neurology
LETM1,M47_status,0.058853613,0.05866035,3.988002616,6.67e-05,0.000220423,0.56408533,Other,Neurology
LGALS8,M47_status,0.062372947,0.064417853,3.724726548,0.000195734,0.000600346,-0.530803684,Other,Neurology
LIF,M47_status,0.052491354,0.030689376,3.731693886,0.000190406,0.000585232,-0.491054443,Other,Neurology
LILRA3,M47_status,0.094637505,-0.367240964,2.458895016,0.01394029,0.030568242,-4.347308081,Cardiometabolic,Cardiometabolic
LPCAT2,M47_status,0.0841346,0.062971729,7.204116701,5.92e-13,4.1e-12,18.41233817,Other,Oncology
LRRC59,M47_status,0.033969294,0.08367744,2.5682527,0.010224472,0.022989333,-4.073554278,Cardiometabolic,Cardiometabolic
LSM8,M47_status,-0.058610893,0.266563039,-2.428963474,0.015146037,0.032989467,-4.410139398,Other,Oncology
LYAR,M47_status,0.056637713,0.056234474,3.825076846,0.000130889,0.000412272,-0.140877329,Other,Oncology
LYVE1,M47_status,0.013931555,0.005180465,2.536223473,0.011208882,0.02512543,-4.155949861,Inflammation,Inflammation
MAEA,M47_status,0.027606926,0.027634034,2.558065874,0.010528517,0.023636603,-4.169926849,Other,Oncology
MANSC1,M47_status,0.029379944,0.004767375,3.863549885,0.000111887,0.000355372,-0.00485343,Other,Oncology
MAPK13,M47_status,0.064183574,0.001564217,5.273479963,1.35e-07,6.04e-07,6.502738938,Other,Oncology
MCFD2,M47_status,0.039078507,0.019779833,3.210719312,0.001324847,0.003549523,-2.30236764,Cardiometabolic,Cardiometabolic
MDH1,M47_status,0.030259664,0.031422935,2.661423483,0.007783891,0.018071733,-3.831172326,Inflammation,Inflammation
MIA,M47_status,0.04051028,0.03593973,3.957575789,7.58e-05,0.000248162,0.361501881,Other,Oncology
MKI67,M47_status,0.031979959,0.052002051,2.890353701,0.003849988,0.009536878,-3.187980922,Inflammation,Inflammation
MMP13,M47_status,0.035734454,-0.00174892,3.979428138,6.92e-05,0.000227968,0.460535572,Other,Neurology
MNDA,M47_status,0.070287557,0.135001778,2.4827784,0.013039378,0.028743668,-4.36819074,Cardiometabolic,Cardiometabolic
MOG,M47_status,0.035643849,-0.00304519,3.702115756,0.00021403,0.000650322,-0.616040471,Other,Oncology
MPRIP,M47_status,0.037129119,-0.015806173,3.045973027,0.002320643,0.00589847,-2.734809166,Other,Oncology
MSRA,M47_status,0.045159873,-0.007960581,2.258790226,0.023900586,0.049885448,-4.899909469,Other,Oncology
MSTN,M47_status,-0.056303524,0.013809376,-3.527190259,0.000420367,0.001216566,-1.23442456,Cardiometabolic,Cardiometabolic
MTDH,M47_status,0.072821521,0.044526292,2.833860154,0.004601062,0.011205145,-3.348987447,Inflammation,Inflammation
MYDGF,M47_status,0.073571803,0.0101843,2.645140761,0.008168543,0.018889756,-3.873954279,Cardiometabolic,Cardiometabolic
MYH9,M47_status,0.081359366,0.013963777,2.584704636,0.009749376,0.022159741,-4.031342477,Cardiometabolic,Cardiometabolic
MZT1,M47_status,0.042862087,0.071732696,2.96013808,0.003076445,0.007725472,-3.064538495,Other,Oncology
NAMPT,M47_status,0.070626627,0.05673298,4.726596914,2.29e-06,8.8e-06,3.699251623,Other,Oncology
NBN,M47_status,0.057198713,0.067315515,3.805417276,0.000141732,0.000443083,-0.216487883,Inflammation,Inflammation
NCAM1,M47_status,-0.043343591,0.010504612,-4.899529762,9.64e-07,3.85e-06,4.516917678,Cardiometabolic,Cardiometabolic
NCF2,M47_status,0.072719775,0.113659693,3.004509058,0.002661381,0.006717803,-2.937678965,Inflammation,Inflammation
NDRG1,M47_status,0.054908504,0.132601215,2.936947933,0.003316099,0.008270441,-3.131293032,Other,Neurology
NEDD9,M47_status,0.02915533,0.030070991,3.071022888,0.002134584,0.00546835,-2.651749306,Inflammation,Inflammation
NEXN,M47_status,0.065513027,0.068283013,3.425923692,0.000613262,0.001731945,-1.516564172,Inflammation,Inflammation
NFYA,M47_status,0.043907034,0.050869793,4.013481663,5.99e-05,0.000199064,0.676666637,Cardiometabolic,Cardiometabolic
NID2,M47_status,0.058731359,0.051085586,2.879069614,0.003990144,0.009867335,-3.309515316,Other,Neurology
NINJ1,M47_status,0.039331252,0.097989659,2.579212474,0.009905397,0.022444555,-4.115802102,Other,Oncology
NIT1,M47_status,-0.030976372,-0.067133145,-2.345120268,0.019025401,0.040711016,-4.605682776,Cardiometabolic,Cardiometabolic
NIT2,M47_status,0.054037333,-0.008898828,2.612306456,0.008996372,0.020657028,-3.959210478,Cardiometabolic,Cardiometabolic
NPM1,M47_status,0.09488836,0.063750413,2.667729748,0.007645486,0.0177928,-3.268164681,Other,Neurology
OTUD7B,M47_status,0.048186677,0.042009537,2.72153681,0.00650043,0.01527392,-3.666575845,Other,Neurology
PADI2,M47_status,0.048138121,0.07866353,3.054211754,0.002257701,0.005758516,-2.783565065,Inflammation,Inflammation
PADI4,M47_status,0.076988832,0.098688299,3.710394758,0.000207159,0.000630757,-0.569174954,Other,Neurology
PBLD,M47_status,0.04017751,0.042328809,2.782133902,0.005402286,0.012876991,-3.572396899,Other,Neurology
PCDH7,M47_status,0.027292537,0.046988278,2.799971614,0.005112907,0.012270136,-3.452176368,Other,Oncology
PDIA4,M47_status,0.038606053,0.054050285,2.284702765,0.022334915,0.04693383,-4.758769524,Cardiometabolic,Cardiometabolic
PDIA5,M47_status,0.043797607,0.035487143,2.61686778,0.008877161,0.020399325,-3.930871571,Other,Oncology
PDLIM7,M47_status,0.085324396,0.028086636,2.431643602,0.015033858,0.032794006,-4.495135611,Inflammation,Inflammation
PEBP1,M47_status,0.042752698,0.024174329,2.609751575,0.009063418,0.020778331,-4.046040947,Other,Neurology
PI16,M47_status,0.019987997,0.000870551,2.856977583,0.004278927,0.010536904,-3.296449951,Inflammation,Inflammation
PIKFYVE,M47_status,0.04790352,0.07368469,3.078928096,0.002078761,0.005353498,-2.62754453,Inflammation,Inflammation
PLSCR3,M47_status,0.050653479,0.032211007,3.076109238,0.002098479,0.00539003,-2.640751261,Other,Neurology
PNLIP,M47_status,-0.042584804,0.015511144,-2.468461933,0.01357321,0.029875372,-4.326722614,Inflammation,Inflammation
PNLIPRP1,M47_status,0.087006293,0.004573844,3.97215509,7.13e-05,0.000234553,0.502223808,Other,Neurology
POMC,M47_status,-0.079667051,0.026883708,-3.906021708,9.4e-05,0.000302001,0.251997434,Cardiometabolic,Cardiometabolic
PON2,M47_status,0.02209543,-0.006733006,2.275250254,0.022895086,0.047943229,-4.853566011,Cardiometabolic,Cardiometabolic
POSTN,M47_status,0.032095824,0.008139256,3.06046351,0.002211254,0.005649908,-2.694029758,Cardiometabolic,Cardiometabolic
PPP1R12A,M47_status,0.084198589,0.049678593,3.187931939,0.001433796,0.003809986,-2.378360102,Other,Oncology
PPP1R9B,M47_status,0.094672193,0.020730237,3.57869871,0.000345623,0.001017377,-1.063494077,Inflammation,Inflammation
PQBP1,M47_status,0.083916658,0.061486885,5.362097601,8.26e-08,3.79e-07,6.8923269,Other,Oncology
PRDX5,M47_status,0.051033319,-0.128771233,2.733538021,0.006267904,0.014786992,-3.721524816,Inflammation,Inflammation
PROS1,M47_status,0.025100158,-0.006875379,3.539169736,0.000401793,0.001167438,-1.121983876,Inflammation,Inflammation
PRR5,M47_status,0.029508115,0.03555946,2.301189739,0.021385613,0.045133679,-4.710894152,Inflammation,Inflammation
PRSS22,M47_status,0.036658933,0.029848439,3.746938735,0.000179237,0.000553293,-0.357500782,Inflammation,Inflammation
PRUNE2,M47_status,0.02691987,0.019392038,3.362401604,0.000773335,0.002158986,-1.718650187,Other,Oncology
PSCA,M47_status,0.178095894,-1.30768092,2.498090378,0.012490007,0.027615952,-4.248564053,Other,Oncology
PSMD1,M47_status,0.040216965,0.04112961,2.895931111,0.003782185,0.009384827,-3.178787296,Other,Neurology
PSME2,M47_status,0.023833723,0.01156708,2.27434531,0.022949376,0.048017915,-4.854052745,Other,Neurology
PSRC1,M47_status,0.038524052,0.111332056,2.356178796,0.018467841,0.039692278,-4.664228753,Other,Oncology
PTH,M47_status,0.083418006,0.041941202,3.591741693,0.000328837,0.00097188,-0.919086071,Other,Neurology
PTPRN2,M47_status,0.032766671,0.000274865,3.565289829,0.000363787,0.001064413,-1.099925722,Other,Neurology
QDPR,M47_status,0.031240978,0.012966099,2.589352883,0.009618366,0.021896017,-4.09716112,Cardiometabolic,Cardiometabolic
RAB44,M47_status,0.042052795,0.055693941,3.319833194,0.000901435,0.002485748,-1.868103951,Other,Oncology
RALY,M47_status,0.056263745,0.047205045,4.098257367,4.17e-05,0.00014157,1.006729085,Other,Oncology
RASSF2,M47_status,0.097035604,0.062313515,6.013126648,1.83e-09,9.55e-09,10.58005331,Other,Oncology
RBKS,M47_status,0.037293473,0.02969667,2.534277941,0.011270937,0.025225842,-4.226382175,Other,Neurology
RCOR1,M47_status,0.048043079,0.085352057,3.89791644,9.71e-05,0.000311025,0.136849189,Cardiometabolic,Cardiometabolic
REPS1,M47_status,0.028255443,0.031306906,2.649790673,0.008057078,0.018676319,-3.851546438,Inflammation,Inflammation
RFC4,M47_status,0.014050314,0.011353804,2.360745263,0.018242533,0.039294711,-4.58085557,Other,Oncology
RGMA,M47_status,-0.030154156,0.002169562,-3.438675087,0.000585026,0.001657008,-1.55168179,Other,Neurology
ROBO2,M47_status,0.032781249,0.004513843,4.900189583,9.6e-07,3.84e-06,4.519566473,Other,Neurology
RPA2,M47_status,0.035128213,0.023540231,4.074106667,4.63e-05,0.000156005,0.916274757,Inflammation,Inflammation
RPL14,M47_status,0.050976131,0.043457828,4.508601052,6.54e-06,2.39e-05,2.775878288,Cardiometabolic,Cardiometabolic
RRM2,M47_status,0.053772369,0.068655798,3.82676903,0.000129993,0.000409892,-0.134427228,Other,Oncology
S100A14,M47_status,0.042783986,0.06849952,2.956366846,0.003114491,0.007807597,-3.002681986,Other,Neurology
